date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:08:41	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2004%20Nov%202023%2005:08:40%20GMT	http://itsalmo.st/19-8nfb	C:/My%20Web%20Sites/19project/itsalmo.st/19-8nfb.0.delayed	(from )
12:08:43	63453/63453	---M--	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2005:08:41%20GMT	https://itsalmo.st:443/19-8nfb	C:/My%20Web%20Sites/19project/itsalmo.st_443/19-8nfb.html	(from )
12:08:44	3121/3121	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Nov%202023%2005:08:43%20GMT	https://itsalmo.st:443/robots.txt		(from )
12:08:46	36016/36016	---M--	200	added ('OK')	text/css	etag:%22255eb2257d03b5d1b2857a5f69faccbc%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/bundles/timer.5c7385936373fe88ea87.css	C:/My%20Web%20Sites/19project/s3.amazonaws.com/itsalmost-production/app/staticfiles/bundles/timer.5c7385936373fe88ea87.css	(from https://itsalmo.st:443/19-8nfb)
12:08:47	3509/3509	---M--	200	added ('OK')	image/png	etag:%223359d3df5262fb753f8e91d6990c910a%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-57x57.png	C:/My%20Web%20Sites/19project/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-57x57.png	(from https://itsalmo.st:443/19-8nfb)
12:08:49	3745/3745	---M--	200	added ('OK')	image/png	etag:%221c53869b26c4df5c474b4429e40f0a52%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-60x60.png	C:/My%20Web%20Sites/19project/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-60x60.png	(from https://itsalmo.st:443/19-8nfb)
12:08:51	4313/4313	---M--	200	added ('OK')	image/png	etag:%22f4c860584cc9736ca704a4b434791d42%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-72x72.png	C:/My%20Web%20Sites/19project/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-72x72.png	(from https://itsalmo.st:443/19-8nfb)
12:08:52	4574/4574	---M--	200	added ('OK')	image/png	etag:%22a8ba958c1b8a4a564ce6b6bb9879eb7b%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-76x76.png	C:/My%20Web%20Sites/19project/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-76x76.png	(from https://itsalmo.st:443/19-8nfb)
12:08:54	6885/6885	---M--	200	added ('OK')	image/png	etag:%22b470ee56507180b3217c09f5469e760d%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-114x114.png	C:/My%20Web%20Sites/19project/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-114x114.png	(from https://itsalmo.st:443/19-8nfb)
12:08:56	7205/7205	---M--	200	added ('OK')	image/png	etag:%22c8ca884e5619e7a780b66150b38adf31%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-120x120.png	C:/My%20Web%20Sites/19project/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-120x120.png	(from https://itsalmo.st:443/19-8nfb)
12:08:57	8798/8798	---M--	200	added ('OK')	image/png	etag:%225deec25e7b6a1e75c9ef93294d865a6f%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-144x144.png	C:/My%20Web%20Sites/19project/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-144x144.png	(from https://itsalmo.st:443/19-8nfb)
12:08:59	9418/9418	---M--	200	added ('OK')	image/png	etag:%223685091abc1e63114b7c695186d0ec58%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-152x152.png	C:/My%20Web%20Sites/19project/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-152x152.png	(from https://itsalmo.st:443/19-8nfb)
12:09:01	11577/11577	---M--	200	added ('OK')	image/png	etag:%229f8157ac91286791ba9fdea47245019f%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-180x180.png	C:/My%20Web%20Sites/19project/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/apple-icon-180x180.png	(from https://itsalmo.st:443/19-8nfb)
12:09:03	10064/10064	---M--	200	added ('OK')	image/png	etag:%2295d1bb4c6074f1a78de47ed3de01238a%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/android-icon-192x192.png	C:/My%20Web%20Sites/19project/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/android-icon-192x192.png	(from https://itsalmo.st:443/19-8nfb)
12:09:04	2112/2112	---M--	200	added ('OK')	image/png	etag:%22ffce810b8bb720894357e33755c6df54%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/favicon-32x32.png	C:/My%20Web%20Sites/19project/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/favicon-32x32.png	(from https://itsalmo.st:443/19-8nfb)
12:09:06	5739/5739	---M--	200	added ('OK')	image/png	etag:%22891dd01fd474b3f414e9c22f9ada8b23%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/favicon-96x96.png	C:/My%20Web%20Sites/19project/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/favicon-96x96.png	(from https://itsalmo.st:443/19-8nfb)
12:09:07	1299/1299	---M--	200	added ('OK')	image/png	etag:%2296c6c99989eaea81f596b820698ef98f%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/favicon-16x16.png	C:/My%20Web%20Sites/19project/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/favicon-16x16.png	(from https://itsalmo.st:443/19-8nfb)
12:09:09	8798/8798	---M--	200	added ('OK')	image/png	etag:%225deec25e7b6a1e75c9ef93294d865a6f%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/ms-icon-144x144.png	C:/My%20Web%20Sites/19project/s3.amazonaws.com/itsalmost-production/app/staticfiles/favicons/ms-icon-144x144.png	(from https://itsalmo.st:443/19-8nfb)
12:09:10	2587/2587	---M-Z	200	added ('OK')	text/css	date:Sat,%2004%20Nov%202023%2005:09:09%20GMT	https://use.typekit.net/mfg7yeo.css	C:/My%20Web%20Sites/19project/use.typekit.net/mfg7yeo.css	(from https://itsalmo.st:443/19-8nfb)
12:09:14	57797/57797	---M--	200	added ('OK')	text/javascript	etag:%220f76a580c84e719a%22	https://apis.google.com/js/platform.js	C:/My%20Web%20Sites/19project/apis.google.com/js/platform.js	(from https://itsalmo.st:443/19-8nfb)
12:09:14	5/5	---M--	200	added ('OK')	text/css	etag:%2264a808ca-5%22	https://p.typekit.net/p.css?s=1&k=mfg7yeo&ht=tk&f=7986.7992.7996.7998&a=309439&app=typekit&e=css	C:/My%20Web%20Sites/19project/p.typekit.net/p9cbe.css	(from https://use.typekit.net/mfg7yeo.css)
12:09:15	24368/24368	---M--	200	added ('OK')	application/font-woff2	etag:%2228b82773ca4c4fa7ae34be8115ad4a4125f3fe92%22	https://use.typekit.net/af/6e84fe/00000000000000003b9b1e46/27/l?subset_id=2&fvd=n4&v=3	C:/My%20Web%20Sites/19project/use.typekit.net/af/6e84fe/00000000000000003b9b1e46/27/l0b8e	(from https://use.typekit.net/mfg7yeo.css)
12:09:15	24936/24936	---M--	200	added ('OK')	application/font-woff	etag:%2228b82773ca4c4fa7ae34be8115ad4a4125f3fe92%22	https://use.typekit.net/af/6e84fe/00000000000000003b9b1e46/27/d?subset_id=2&fvd=n4&v=3	C:/My%20Web%20Sites/19project/use.typekit.net/af/6e84fe/00000000000000003b9b1e46/27/d0b8e	(from https://use.typekit.net/mfg7yeo.css)
12:09:15	43988/43988	---M-Z	200	added ('OK')	font/opentype	etag:W/%2228b82773ca4c4fa7ae34be8115ad4a4125f3fe92%22	https://use.typekit.net/af/6e84fe/00000000000000003b9b1e46/27/a?subset_id=2&fvd=n4&v=3	C:/My%20Web%20Sites/19project/use.typekit.net/af/6e84fe/00000000000000003b9b1e46/27/a0b8e	(from https://use.typekit.net/mfg7yeo.css)
12:09:16	21028/21028	---M--	200	added ('OK')	application/font-woff2	etag:%22023572925664ffcc5a8b664af963d33a58d7e2ec%22	https://use.typekit.net/af/1e9639/00000000000000003b9b1e44/27/l?subset_id=2&fvd=n3&v=3	C:/My%20Web%20Sites/19project/use.typekit.net/af/1e9639/00000000000000003b9b1e44/27/l6651	(from https://use.typekit.net/mfg7yeo.css)
12:09:16	662385/662385	---M--	200	added ('OK')	application/javascript	etag:%22628db4d4d6ccdd6cc5835c4a6dcd2a2d%22	https://s3.amazonaws.com/itsalmost-production/app/staticfiles/bundles/timer.5c7385936373fe88ea87.js	C:/My%20Web%20Sites/19project/s3.amazonaws.com/itsalmost-production/app/staticfiles/bundles/timer.5c7385936373fe88ea87.js	(from https://itsalmo.st:443/19-8nfb)
12:09:17	21344/21344	---M--	200	added ('OK')	application/font-woff	etag:%22023572925664ffcc5a8b664af963d33a58d7e2ec%22	https://use.typekit.net/af/1e9639/00000000000000003b9b1e44/27/d?subset_id=2&fvd=n3&v=3	C:/My%20Web%20Sites/19project/use.typekit.net/af/1e9639/00000000000000003b9b1e44/27/d6651	(from https://use.typekit.net/mfg7yeo.css)
12:09:18	33084/33084	---M-Z	200	added ('OK')	font/opentype	etag:W/%22023572925664ffcc5a8b664af963d33a58d7e2ec%22	https://use.typekit.net/af/1e9639/00000000000000003b9b1e44/27/a?subset_id=2&fvd=n3&v=3	C:/My%20Web%20Sites/19project/use.typekit.net/af/1e9639/00000000000000003b9b1e44/27/a6651	(from https://use.typekit.net/mfg7yeo.css)
12:09:18	20012/20012	---M--	200	added ('OK')	application/font-woff2	etag:%2215355ccfec7de5c48c1f6cda81373096afa83951%22	https://use.typekit.net/af/d71088/00000000000000003b9b1e47/27/l?subset_id=2&fvd=n5&v=3	C:/My%20Web%20Sites/19project/use.typekit.net/af/d71088/00000000000000003b9b1e47/27/l7188	(from https://use.typekit.net/mfg7yeo.css)
12:09:18	20336/20336	---M--	200	added ('OK')	application/font-woff	etag:%2215355ccfec7de5c48c1f6cda81373096afa83951%22	https://use.typekit.net/af/d71088/00000000000000003b9b1e47/27/d?subset_id=2&fvd=n5&v=3	C:/My%20Web%20Sites/19project/use.typekit.net/af/d71088/00000000000000003b9b1e47/27/d7188	(from https://use.typekit.net/mfg7yeo.css)
12:09:19	29664/29664	---M-Z	200	added ('OK')	font/opentype	etag:W/%2215355ccfec7de5c48c1f6cda81373096afa83951%22	https://use.typekit.net/af/d71088/00000000000000003b9b1e47/27/a?subset_id=2&fvd=n5&v=3	C:/My%20Web%20Sites/19project/use.typekit.net/af/d71088/00000000000000003b9b1e47/27/a7188	(from https://use.typekit.net/mfg7yeo.css)
12:09:19	22460/22460	---M--	200	added ('OK')	application/font-woff2	etag:%22aa16f1e689f93e5ec9c75cbf4e32df68384476b8%22	https://use.typekit.net/af/7dffb4/00000000000000003b9b1e4a/27/l?subset_id=2&fvd=n6&v=3	C:/My%20Web%20Sites/19project/use.typekit.net/af/7dffb4/00000000000000003b9b1e4a/27/le54d	(from https://use.typekit.net/mfg7yeo.css)
12:09:20	22944/22944	---M--	200	added ('OK')	application/font-woff	etag:%22aa16f1e689f93e5ec9c75cbf4e32df68384476b8%22	https://use.typekit.net/af/7dffb4/00000000000000003b9b1e4a/27/d?subset_id=2&fvd=n6&v=3	C:/My%20Web%20Sites/19project/use.typekit.net/af/7dffb4/00000000000000003b9b1e4a/27/de54d	(from https://use.typekit.net/mfg7yeo.css)
12:09:20	35656/35656	---M-Z	200	added ('OK')	font/opentype	etag:W/%22aa16f1e689f93e5ec9c75cbf4e32df68384476b8%22	https://use.typekit.net/af/7dffb4/00000000000000003b9b1e4a/27/a?subset_id=2&fvd=n6&v=3	C:/My%20Web%20Sites/19project/use.typekit.net/af/7dffb4/00000000000000003b9b1e4a/27/ae54d	(from https://use.typekit.net/mfg7yeo.css)
12:09:20	1/1	---M--	200	added ('OK')	text/plain	etag:%226542b108-1%22	https://use.typekit.net/robots.txt		(from https://use.typekit.net/mfg7yeo.css)
